Art,cap,ven,std,
340.39,NaN,273.76,45.819,NaN,44.965
310.46,NaN,326.45,34.244,NaN,30.963
349.53,NaN,321.21,30.549,NaN,27.103
311.6,468.19,393.75,14.269,0,29.365
317.47,355.38,316.98,13.388,62.682,28.68
296.12,341.9,319.94,8.1401,35.195,20.748
309.6,399.19,339.63,9.684,21.709,23.524
314.66,397.15,308.6,5.7683,19.928,21.741
307.25,384.48,371.36,5.2982,11.112,25.252
311.62,384.33,316.79,5.6266,9.5086,14.522
305.9,389,331.66,6.3073,7.573,16.965
302.25,365.81,329.52,6.7586,9.901,14.486
329.51,388.18,329.71,9.5952,8.6357,18.182
320.51,400.11,358.08,12.937,11.361,17.069
306.42,383.78,309.47,19.295,26.964,12.167
308.47,330.66,329.11,28.355,21.168,15.159
251.94,369.23,308.27,26.953,19.941,16.565
316,353.17,326.08,28.422,39.962,15.216
387.65,354.63,340.44,32.634,31.462,22.995
269.65,194.85,317.82,105.43,73.275,11.955
140.35,367.47,338.44,0,20.93,13.072
NaN,444.73,327.9,NaN,0,17.202
NaN,NaN,308.68,NaN,NaN,16.764
NaN,NaN,314.54,NaN,NaN,16.076
NaN,NaN,352.68,NaN,NaN,13.322
NaN,NaN,304.25,NaN,NaN,16.486
NaN,NaN,308.32,NaN,NaN,18.883
NaN,NaN,320.89,NaN,NaN,19.245
NaN,NaN,308.28,NaN,NaN,12.514
NaN,NaN,333.65,NaN,NaN,19.652
NaN,NaN,333.83,NaN,NaN,20.56
NaN,NaN,364.91,NaN,NaN,35.487
NaN,NaN,325.69,NaN,NaN,15.549
NaN,NaN,337.92,NaN,NaN,24.569
NaN,NaN,350.64,NaN,NaN,28.318
NaN,NaN,366.44,NaN,NaN,47.811
NaN,NaN,347.46,NaN,NaN,30.506
NaN,NaN,318.13,NaN,NaN,23.125
NaN,NaN,311.72,NaN,NaN,26.946
NaN,NaN,305.44,NaN,NaN,28.042
NaN,NaN,293.85,NaN,NaN,24.372
NaN,NaN,297.2,NaN,NaN,36.357
NaN,NaN,326.23,NaN,NaN,53.069
NaN,NaN,333.22,NaN,NaN,66.071
NaN,NaN,267.74,NaN,NaN,11.744
NaN,NaN,298.79,NaN,NaN,32.485
0,0,273.52,NaN,NaN,60.258
0,0,197.4,NaN,NaN,87.712
0,0,187.91,NaN,NaN,82.765
0,0,127.63,NaN,NaN,77.215
0,0,106.55,NaN,NaN,80.492
0,0,71.888,NaN,NaN,81.758
0,0,76.392,NaN,NaN,81.454
0,0,66.357,NaN,NaN,132.39
0,0,9.85,NaN,NaN,35.515
0,0,0,NaN,NaN,NaN
0,0,0,NaN,NaN,NaN
0,0,0,NaN,NaN,NaN
0,0,0,NaN,NaN,NaN
0,0,0,NaN,NaN,NaN
0,0,0,NaN,NaN,NaN
0,0,0,NaN,NaN,NaN
0,0,0,NaN,NaN,NaN
0,0,0,NaN,NaN,NaN
0,0,0,NaN,NaN,NaN
0,0,0,NaN,NaN,NaN
0,0,0,NaN,NaN,NaN
0,0,0,NaN,NaN,NaN
0,0,0,NaN,NaN,NaN
0,0,0,NaN,NaN,NaN
0,0,0,NaN,NaN,NaN
0,0,0,NaN,NaN,NaN
0,0,0,NaN,NaN,NaN
0,0,0,NaN,NaN,NaN
