Art,ven,std,
0,0,NaN,NaN
0,0,NaN,NaN
0,0.68,NaN,0.11547
0.04,0.8,0.2,0.19094
1.12,1.32,0.29138,0.29472
2.52,1.48,0.28943,0.33665
6.04,3,0.47074,0.59861
11,3.32,0.92916,0.55423
18.16,3.2,1.1397,0.47507
24.48,3.64,1.6645,0.44302
26.8,4.16,1.4107,0.57639
25.56,4.48,1.6503,0.51411
23.04,5.16,1.3159,0.63948
16.32,4.92,1.1758,0.53007
10.64,5.52,1.2054,0.9537
6,5.76,0.73485,0.7985
4.28,6.68,0.96506,0.91053
1.76,6.72,0.75982,0.97987
1.44,6.84,1.0527,0.91411
0.52,6.6,0.9877,0.91652
0.2,6.88,0.5,1.1293
0.08,7.64,0.4,1.1396
0,6.52,NaN,1.1683
0,6.64,NaN,0.75029
0,5.28,NaN,0.57015
0,6.28,NaN,0.58458
0,5.16,NaN,0.60189
0,4.76,NaN,0.76219
0,4.48,NaN,0.66606
0,4.28,NaN,0.87801
0,5.88,NaN,1.0006
0,4.72,NaN,0.9745
0,4.72,NaN,1.1756
0,4.08,NaN,0.81628
0,3.64,NaN,0.81913
0,2.92,NaN,0.76349
0,2.36,NaN,0.91245
0,2.52,NaN,1.222
0,2.04,NaN,0.64291
0,1.84,NaN,0.9671
0,1.84,NaN,0.88626
0,1.48,NaN,0.82843
0,1.52,NaN,0.76985
0,1,NaN,0.677
0,1.04,NaN,0.65733
0,0.72,NaN,0.65107
0,1.04,NaN,1.0683
0,0.76,NaN,0.69001
0,0.72,NaN,0.59535
0,0.8,NaN,0.69722
0,0.6,NaN,0.61914
0,0.4,NaN,0.5
0,0.28,NaN,0.48648
0,0.6,NaN,1.0801
0,0.2,NaN,0.5
0,0.08,NaN,0.4
0,0,NaN,NaN
0,0,NaN,NaN
0,0,NaN,NaN
0,0,NaN,NaN
0,0,NaN,NaN
0,0,NaN,NaN
0,0,NaN,NaN
0,0,NaN,NaN
0,0,NaN,NaN
0,0,NaN,NaN
0,0,NaN,NaN
0,0,NaN,NaN
0,0,NaN,NaN
0,0,NaN,NaN
0,0,NaN,NaN
0,0,NaN,NaN
0,0,NaN,NaN
0,0,NaN,NaN
