Diameter_Freq,art_dia_dist,cap_dia_dist,ven_dia_dist,art_dia_dist_ste,cap_dia_dist_ste,ven_dia_dist_ste,
2.5,0.0035655,0.0051111,0.0072423,0.00071053,0.0011967,0.00083565
5,0.034986,0.11867,0.036546,0.0017476,0.0044777,0.0020235
7.5,0.11744,0.35444,0.061616,0.0038987,0.0081271,0.0018569
10,0.17604,0.33956,0.090362,0.0047707,0.0061974,0.0036215
12.5,0.20145,0.14156,0.10652,0.0036522,0.0048018,0.0041199
15,0.17192,0.034444,0.10652,0.0036797,0.0020538,0.0028826
17.5,0.12401,0.0048889,0.10162,0.0026916,0.0013349,0.0035458
20,0.07766,0.0013333,0.090251,0.0025798,0.00048432,0.0025018
22.5,0.047131,0,0.085125,0.0027003,0,0.0035639
25,0.022284,0,0.068412,0.0013551,0,0.0024553
27.5,0.013593,0,0.05805,0.0011743,0,0.0027513
30,0.0051253,0,0.046128,0.00063682,0,0.0023199
32.5,0.0027855,0,0.035097,0.00062286,0,0.0019432
35,0.0014485,0,0.027855,0.00048567,0,0.0020469
37.5,0.00033426,0,0.020613,0.00018477,0,0.0015172
40,0.00011142,0,0.014039,0.00011142,0,0.0010604
42.5,0.00011142,0,0.010696,0.00011142,0,0.0010383
45,0,0,0.0096936,0,0,0.00055988
47.5,0,0,0.0074652,0,0,0.00091992
50,0,0,0.0052368,0,0,0.0007931
