EGL_Thickness,remp,ste
1e-08,1.0024,2.2696e-05
6e-08,1.0143,0.00013871
1.1e-07,1.0265,0.00025924
1.6e-07,1.039,0.00038468
2.1e-07,1.0518,0.00051545
2.6e-07,1.065,0.00065198
3.1e-07,1.0786,0.00079474
3.6e-07,1.0925,0.00094418
4.1e-07,1.107,0.0011008
4.6e-07,1.1218,0.0012651
5.1e-07,1.1372,0.0014375
5.6e-07,1.1531,0.0016186
6.1e-07,1.1695,0.001809
6.6e-07,1.1865,0.002009
7.1e-07,1.2041,0.0022194
7.6e-07,1.2223,0.0024407
8.1e-07,1.2412,0.0026735
8.6e-07,1.2607,0.0029184
9.1e-07,1.2809,0.003176
9.6e-07,1.3018,0.0034471
1.01e-06,1.3234,0.0037323
