Art,cap,ven,std,
362.56,NaN,336.43,27.302,NaN,33.324
361.82,NaN,330.76,21.941,NaN,26.08
350.92,453.72,327.06,14.869,126.56,17.744
323.5,460.61,291.88,12.986,59.121,15.891
318.81,324.82,327.53,9.1128,23.105,14.672
295.52,335.46,315.62,9.2266,29.52,13.702
277.81,369.03,256.81,7.1865,15.161,8.1045
276.43,386.91,275.59,7.1237,23.285,6.2726
280.4,387.3,276.94,6.009,13.381,7.0551
270.98,389.98,270.38,5.3019,10.733,5.5559
270.95,378.88,258.57,5.0257,10.59,6.0793
262.15,379.38,262.98,5.2571,9.7817,4.9409
264.63,399.34,262.61,5.4582,7.5266,4.8337
266.26,390.57,252.61,5.8785,12.158,4.0382
259.67,373.19,250.76,5.3914,8.8636,4.2991
266.71,380.39,257.08,6.748,11.381,5.3063
272.77,392.1,252.68,8.7627,15.137,5.812
254.38,376.48,257.12,9.227,11.633,5.4556
282.3,380,252.95,12.45,18.461,8.123
261.8,396.72,260.53,13.181,14.042,8.7809
268.87,375.06,257.52,14.144,20.904,10.181
266.73,361.16,263.93,20.95,18.848,10.22
306.39,445.68,246.73,31.837,33.784,12.533
274.45,430.23,243.85,28.242,33.636,18.179
320.06,442.16,238.3,37.146,48.096,18.506
288.71,405.31,277.05,42.253,46.419,27.8
273.94,475.13,273.32,36.883,63.601,36.72
241.13,471.77,270.28,51.283,13.826,39.493
236.51,434.58,161.28,48.415,18.513,36.474
132.05,256.21,455.4,5.5741,54.157,26.885
187.45,298.13,271.69,0,12.48,0
204.99,270.58,173.01,0,0,0
NaN,343.99,NaN,NaN,0,NaN
NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN
0,0,0,NaN,NaN,NaN
0,0,0,NaN,NaN,NaN
0,0,0,NaN,NaN,NaN
0,0,0,NaN,NaN,NaN
0,0,0,NaN,NaN,NaN
0,0,0,NaN,NaN,NaN
0,0,0,NaN,NaN,NaN
0,0,0,NaN,NaN,NaN
0,0,0,NaN,NaN,NaN
0,0,0,NaN,NaN,NaN
0,0,0,NaN,NaN,NaN
0,0,0,NaN,NaN,NaN
0,0,0,NaN,NaN,NaN
0,0,0,NaN,NaN,NaN
0,0,0,NaN,NaN,NaN
0,0,0,NaN,NaN,NaN
0,0,0,NaN,NaN,NaN
0,0,0,NaN,NaN,NaN
0,0,0,NaN,NaN,NaN
0,0,0,NaN,NaN,NaN
0,0,0,NaN,NaN,NaN
0,0,0,NaN,NaN,NaN
0,0,0,NaN,NaN,NaN
0,0,0,NaN,NaN,NaN
0,0,0,NaN,NaN,NaN
0,0,0,NaN,NaN,NaN
