Art,cap,ven,std,
33.632,NaN,62.388,0.66517,NaN,1.5817
27.525,NaN,46.649,0.64032,NaN,2.6755
23.136,8.246,41.547,0.79081,1.9559,1.9666
20.023,7.938,30.681,0.44259,0.89409,1.787
17.979,8.5251,28.695,0.3802,0.48925,1.2056
16.778,9.3956,27.438,0.3119,0.37208,0.95863
15.941,8.9379,24.149,0.25124,0.24485,0.8922
15.223,8.458,24.294,0.23497,0.26242,0.90647
14.841,8.9175,23.962,0.1907,0.22965,0.80818
14.581,9.0604,22.707,0.15507,0.15743,0.74813
14.072,8.8491,21.257,0.17351,0.18871,0.42608
14.05,9.0164,20.032,0.19369,0.15768,0.88745
13.899,9.1001,20.506,0.26656,0.1201,0.80681
13.541,9.1167,19.735,0.23001,0.15921,0.53646
12.991,9.079,19.222,0.21976,0.1101,0.50062
12.794,8.822,19.153,0.1767,0.112,0.49603
12.364,9.2445,18.662,0.19416,0.1121,0.41723
12.07,9.167,17.4,0.20648,0.18445,0.49111
11.586,8.676,17.203,0.25153,0.15055,0.5085
12.338,9.142,17.883,0.3753,0.2599,0.79925
12.124,8.4121,17.002,0.36053,0.22575,0.54549
12.381,9.3061,16.777,0.57207,0.45579,0.7746
11.712,8.388,17.26,0.55109,0.34132,0.61298
12.967,8.2394,16.965,0.75396,0.329,0.69002
11.469,9.1831,17.38,0.85345,0.60673,0.78864
12.511,10.209,16.481,0.71454,0.4051,0.75007
12.987,8.3024,18.151,1.478,0.52771,1.3215
15.39,8.7798,17.199,0,0.2603,1.2517
NaN,7.3899,15.229,NaN,0,1.2961
NaN,NaN,16.051,NaN,NaN,1.3703
NaN,NaN,15.419,NaN,NaN,1.6087
NaN,NaN,14.762,NaN,NaN,1.0613
NaN,NaN,16.341,NaN,NaN,4.9025
NaN,NaN,17.341,NaN,NaN,0.46239
NaN,NaN,14.769,NaN,NaN,2.446
NaN,NaN,15.224,NaN,NaN,1.8395
NaN,NaN,10.76,NaN,NaN,0.3535
NaN,NaN,12.104,NaN,NaN,4.8765
NaN,NaN,18.93,NaN,NaN,0
NaN,NaN,15.654,NaN,NaN,0
0,0,7.6525,NaN,NaN,10.822
0,0,0,NaN,NaN,NaN
0,0,0,NaN,NaN,NaN
0,0,0,NaN,NaN,NaN
0,0,0,NaN,NaN,NaN
0,0,0,NaN,NaN,NaN
0,0,0,NaN,NaN,NaN
0,0,0,NaN,NaN,NaN
0,0,0,NaN,NaN,NaN
0,0,0,NaN,NaN,NaN
0,0,0,NaN,NaN,NaN
0,0,0,NaN,NaN,NaN
0,0,0,NaN,NaN,NaN
0,0,0,NaN,NaN,NaN
0,0,0,NaN,NaN,NaN
0,0,0,NaN,NaN,NaN
0,0,0,NaN,NaN,NaN
0,0,0,NaN,NaN,NaN
0,0,0,NaN,NaN,NaN
0,0,0,NaN,NaN,NaN
0,0,0,NaN,NaN,NaN
0,0,0,NaN,NaN,NaN
0,0,0,NaN,NaN,NaN
0,0,0,NaN,NaN,NaN
0,0,0,NaN,NaN,NaN
0,0,0,NaN,NaN,NaN
0,0,0,NaN,NaN,NaN
0,0,0,NaN,NaN,NaN
