gen,art_freq,ven_freq,art_freq_ste,ven_freq_ste,art_len,cap_len,ven_len,art_len_ste,cap_len_ste,ven_len_ste,art_dia,cap_dia,ven_dia,art_dia_ste,cap_dia_ste,ven_dia_ste,
40,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
41,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
42,0,0,NaN,NaN,0,0,0,NaN,NaN,NaN,0,0,0,NaN,NaN,NaN
43,0,0,NaN,NaN,0,0,0,NaN,NaN,NaN,0,0,0,NaN,NaN,NaN
44,0,0,NaN,NaN,0,0,0,NaN,NaN,NaN,0,0,0,NaN,NaN,NaN
45,0,0,NaN,NaN,0,0,0,NaN,NaN,NaN,0,0,0,NaN,NaN,NaN
46,0,0,NaN,NaN,0,0,0,NaN,NaN,NaN,0,0,0,NaN,NaN,NaN
47,0,0,NaN,NaN,0,0,0,NaN,NaN,NaN,0,0,0,NaN,NaN,NaN
48,0,0,NaN,NaN,0,0,0,NaN,NaN,NaN,0,0,0,NaN,NaN,NaN
49,0,0,NaN,NaN,0,0,0,NaN,NaN,NaN,0,0,0,NaN,NaN,NaN
50,0,0,NaN,NaN,0,0,0,NaN,NaN,NaN,0,0,0,NaN,NaN,NaN
51,0,0,NaN,NaN,0,0,0,NaN,NaN,NaN,0,0,0,NaN,NaN,NaN
52,0,0,NaN,NaN,0,0,0,NaN,NaN,NaN,0,0,0,NaN,NaN,NaN
53,0,0,NaN,NaN,0,0,0,NaN,NaN,NaN,0,0,0,NaN,NaN,NaN
54,0,0,NaN,NaN,0,0,0,NaN,NaN,NaN,0,0,0,NaN,NaN,NaN
55,0,0,NaN,NaN,0,0,0,NaN,NaN,NaN,0,0,0,NaN,NaN,NaN
56,0,0,NaN,NaN,0,0,0,NaN,NaN,NaN,0,0,0,NaN,NaN,NaN
57,0,0,NaN,NaN,0,0,0,NaN,NaN,NaN,0,0,0,NaN,NaN,NaN
