Art,cap,ven,std,
366.13,NaN,448.78,46.933,NaN,55.587
366.09,NaN,334,25.62,NaN,31.158
379.48,NaN,363.69,24.454,NaN,33.542
367.05,531.66,383.9,16.296,132.33,31.025
363.87,348.44,361.8,12.752,53.565,18.125
361.83,377.75,376.3,10.307,37.106,42.624
370.38,394.34,377.64,7.643,18.23,30.136
367.91,379.07,367.99,6.4429,11.136,20.016
369.7,396.79,391.3,7.8724,16.989,24.638
369.11,360.5,390.99,6.5898,8.5709,23.263
358.84,368.24,391.88,7.2003,11.224,23.721
377.3,390.4,374.16,8.8297,9.263,19.111
359.67,418.16,409.52,6.4605,18.571,27.038
355.97,417.45,353.92,14.159,15.775,17.808
389.87,384.26,366.53,19.959,15.627,16.982
356.57,352.62,333.69,18.217,20.038,23.01
352.78,416.76,379.8,28.256,24.13,18.515
394.41,375.23,383.26,40.347,36.642,16.334
365.24,436.34,371.17,75.072,45.634,18.725
307.68,363.19,355.45,0,69.971,18.917
NaN,240.99,405.66,NaN,0,14.956
NaN,NaN,401.42,NaN,NaN,19.248
NaN,NaN,406.61,NaN,NaN,20.607
NaN,NaN,395.89,NaN,NaN,16.232
NaN,NaN,398.08,NaN,NaN,19.277
NaN,NaN,392.94,NaN,NaN,13.552
NaN,NaN,404.01,NaN,NaN,21.167
NaN,NaN,389.56,NaN,NaN,22.69
NaN,NaN,425.4,NaN,NaN,33.689
NaN,NaN,394.68,NaN,NaN,19.559
NaN,NaN,397.65,NaN,NaN,27.932
NaN,NaN,389.9,NaN,NaN,21.617
NaN,NaN,381.5,NaN,NaN,21.965
NaN,NaN,376.15,NaN,NaN,23.15
NaN,NaN,371.1,NaN,NaN,24.257
NaN,NaN,399.65,NaN,NaN,27.524
NaN,NaN,385.16,NaN,NaN,22.162
NaN,NaN,414.05,NaN,NaN,29.064
NaN,NaN,389.91,NaN,NaN,22.374
NaN,NaN,404.59,NaN,NaN,27.729
NaN,NaN,392.27,NaN,NaN,26.215
NaN,NaN,349.85,NaN,NaN,14.627
NaN,NaN,374.36,NaN,NaN,31.566
NaN,NaN,422.79,NaN,NaN,32.284
NaN,NaN,306.85,NaN,NaN,27.703
NaN,NaN,445.36,NaN,NaN,39.225
NaN,NaN,401.56,NaN,NaN,68.154
NaN,NaN,384.93,NaN,NaN,31.319
0,0,351.52,NaN,NaN,81.992
0,0,343.6,NaN,NaN,67.666
0,0,258.47,NaN,NaN,73.814
0,0,294.32,NaN,NaN,97.469
0,0,233.77,NaN,NaN,95.012
0,0,250.34,NaN,NaN,126.01
0,0,174.76,NaN,NaN,112.07
0,0,80.771,NaN,NaN,77.138
0,0,125.7,NaN,NaN,129.39
0,0,62.923,NaN,NaN,106.66
0,0,0,NaN,NaN,NaN
0,0,0,NaN,NaN,NaN
0,0,0,NaN,NaN,NaN
0,0,0,NaN,NaN,NaN
0,0,0,NaN,NaN,NaN
0,0,0,NaN,NaN,NaN
0,0,0,NaN,NaN,NaN
0,0,0,NaN,NaN,NaN
0,0,0,NaN,NaN,NaN
0,0,0,NaN,NaN,NaN
0,0,0,NaN,NaN,NaN
0,0,0,NaN,NaN,NaN
0,0,0,NaN,NaN,NaN
0,0,0,NaN,NaN,NaN
0,0,0,NaN,NaN,NaN
0,0,0,NaN,NaN,NaN
