Art,cap,ven,std,
26.442,NaN,54.647,0.68653,NaN,0.80458
22.267,NaN,44.717,0.5358,NaN,0.99624
18.412,7.7504,36.496,0.41401,0.55131,1.0777
16.52,8.8048,30.897,0.33715,0.50336,0.76731
15.164,8.357,29.098,0.22087,0.27674,0.75632
14.153,8.6296,26.06,0.20008,0.33744,0.44516
13.713,8.8374,24.006,0.16699,0.15469,0.49611
12.928,8.5113,22.054,0.13229,0.14926,0.30087
12.686,8.6967,20.866,0.10023,0.11634,0.31619
12.282,8.8308,20.472,0.09646,0.10103,0.32114
12.183,8.9264,19.317,0.089279,0.10435,0.29185
12.052,8.7447,18.827,0.092943,0.097064,0.22653
11.865,8.7397,18.136,0.12348,0.080289,0.22933
11.795,8.8183,17.724,0.11178,0.076826,0.22567
11.556,8.6599,17.372,0.10923,0.095615,0.20842
11.581,8.6491,16.951,0.13267,0.092243,0.26018
11.398,8.9238,16.62,0.17529,0.12596,0.21573
11.418,8.6134,16.505,0.19056,0.15448,0.20578
11.353,8.673,16.246,0.20488,0.13401,0.31273
11.313,8.9366,15.679,0.23411,0.20359,0.28649
10.799,9.1041,15.754,0.27042,0.19399,0.44736
10.827,8.5868,14.932,0.36686,0.22562,0.32922
10.203,8.6884,14.839,0.40807,0.30473,0.4828
10.976,8.6105,15.029,0.40281,0.30001,0.58098
11.843,8.5415,14.971,0.54504,0.49408,0.60062
12.495,8.7528,14.518,0.77203,0.46734,0.71556
10.576,7.9989,15.376,0.33402,0.63344,1.1985
10.181,9.1046,13.795,0.83415,0.58082,0.50769
10.502,9.6147,12.495,0.95884,1.0345,1.6131
10.101,7.3366,14.014,1.0502,0.43973,0.61
11.11,7.3222,14.171,0,0.58683,0
7.8085,9.5884,12.296,0,0,0
NaN,7.2467,NaN,NaN,0,NaN
NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN
0,0,0,NaN,NaN,NaN
0,0,0,NaN,NaN,NaN
0,0,0,NaN,NaN,NaN
0,0,0,NaN,NaN,NaN
0,0,0,NaN,NaN,NaN
0,0,0,NaN,NaN,NaN
0,0,0,NaN,NaN,NaN
0,0,0,NaN,NaN,NaN
0,0,0,NaN,NaN,NaN
0,0,0,NaN,NaN,NaN
0,0,0,NaN,NaN,NaN
0,0,0,NaN,NaN,NaN
0,0,0,NaN,NaN,NaN
0,0,0,NaN,NaN,NaN
0,0,0,NaN,NaN,NaN
0,0,0,NaN,NaN,NaN
0,0,0,NaN,NaN,NaN
0,0,0,NaN,NaN,NaN
0,0,0,NaN,NaN,NaN
0,0,0,NaN,NaN,NaN
0,0,0,NaN,NaN,NaN
0,0,0,NaN,NaN,NaN
0,0,0,NaN,NaN,NaN
0,0,0,NaN,NaN,NaN
0,0,0,NaN,NaN,NaN
0,0,0,NaN,NaN,NaN
