Art,ven,std,
0,0,NaN,NaN
0,0,NaN,NaN
0.16,0.08,0.18708,0.19579
0.64,0.36,0.21858,0.20104
1.36,1.48,0.22827,0.37357
2.8,1.92,0.39409,0.25481
4.88,2.32,0.5569,0.34663
6.88,4.4,0.68391,0.62082
8.48,4.48,0.83291,0.50372
9.96,5.04,0.63634,0.59942
11.48,7.08,0.81674,0.75038
13.92,11.32,1.1014,1.1814
13.84,10.68,0.98434,1.2433
14.68,12.6,1.1884,1.3693
14.64,11.44,1.0229,1.2478
15.64,13.08,0.9163,1.0862
14,11.68,0.66332,0.93581
12.64,10.64,0.88295,0.82033
10.48,12.12,1.1505,1.1794
7.84,11.2,0.99613,1.249
4.84,8.28,0.82298,0.9955
4.04,6.92,0.92754,1.0284
1.84,6.12,0.64842,0.85794
2.08,5.16,0.96009,1.2596
1.04,4.24,0.78714,0.8424
0.68,3.8,0.5314,1.1483
0.64,2.84,0.63087,0.89654
0.44,1.68,1.2923,0.65997
0.08,1.64,0.4,0.74095
0,1.32,NaN,0.62397
0,1.6,NaN,0.91287
0,1.52,NaN,1.1776
0,1,NaN,1.5
0,0.32,NaN,0.78316
0,0.36,NaN,0.64291
0,0.28,NaN,0.51424
0,0.52,NaN,1.6971
0,0.2,NaN,0.57735
0,0.12,NaN,0.31091
0,0.04,NaN,0.2
0,0.04,NaN,0.2
0,0.08,NaN,0.4
0,0,NaN,NaN
0,0,NaN,NaN
0,0,NaN,NaN
0,0,NaN,NaN
0,0,NaN,NaN
0,0,NaN,NaN
0,0,NaN,NaN
0,0,NaN,NaN
0,0,NaN,NaN
0,0,NaN,NaN
0,0,NaN,NaN
0,0,NaN,NaN
0,0,NaN,NaN
0,0,NaN,NaN
0,0,NaN,NaN
0,0,NaN,NaN
0,0,NaN,NaN
0,0,NaN,NaN
0,0,NaN,NaN
0,0,NaN,NaN
0,0,NaN,NaN
0,0,NaN,NaN
0,0,NaN,NaN
0,0,NaN,NaN
0,0,NaN,NaN
0,0,NaN,NaN
