Art,ven,std,
0,0,NaN,NaN
0,0,NaN,NaN
0.16,0.08,0.18708,0.19579
0.64,0.76,0.19415,0.18679
1.76,1.48,0.29777,0.33417
2.48,3.04,0.394,0.41037
4.4,4.28,0.53684,0.51259
6.88,6.68,0.74458,0.75437
7.68,8.68,0.62907,0.79733
9.08,9.72,0.88569,0.9283
10.44,12.32,1.0051,1.0874
12.28,13.44,0.91199,1.3953
11.44,13.6,0.88333,1.2715
13.56,15.8,0.79179,1.0954
13.96,15.2,0.92643,0.92014
14.24,14.2,1.0666,1.2858
11.64,12.68,1.0502,0.75437
12.04,11.36,0.93716,1.1253
10.52,10.24,0.91855,1.0153
9,7.64,0.90921,0.99143
8.64,6.32,1.1774,0.8544
5.36,4.16,0.57397,1.1785
5.04,3.76,0.91624,1.2094
3.4,1.84,0.72548,0.89241
2.24,1.24,0.8591,0.74087
1.2,0.68,0.51493,0.48452
0.8,0.64,0.71686,1.0396
0.36,0.16,0.59815,0.39158
0.48,0,2.4,NaN
0.08,0,0.4,NaN
0.12,0,0.6,NaN
0.08,0,0.4,NaN
0,0,NaN,NaN
0,0,NaN,NaN
0,0,NaN,NaN
0,0,NaN,NaN
0,0,NaN,NaN
0,0,NaN,NaN
0,0,NaN,NaN
0,0,NaN,NaN
0,0,NaN,NaN
0,0,NaN,NaN
0,0,NaN,NaN
0,0,NaN,NaN
0,0,NaN,NaN
0,0,NaN,NaN
0,0,NaN,NaN
0,0,NaN,NaN
0,0,NaN,NaN
0,0,NaN,NaN
0,0,NaN,NaN
0,0,NaN,NaN
0,0,NaN,NaN
0,0,NaN,NaN
0,0,NaN,NaN
0,0,NaN,NaN
0,0,NaN,NaN
