gen,art_freq,ven_freq,art_freq_ste,ven_freq_ste,art_len,cap_len,ven_len,art_len_ste,cap_len_ste,ven_len_ste,art_dia,cap_dia,ven_dia,art_dia_ste,cap_dia_ste,ven_dia_ste,
40,0,1.64,NaN,0.45575,NaN,NaN,391.81,NaN,NaN,33.999,NaN,NaN,19.299,NaN,NaN,1.1955
41,0,1.64,NaN,0.70652,NaN,NaN,321.54,NaN,NaN,17.762,NaN,NaN,18.944,NaN,NaN,1.2012
42,0,1.36,NaN,0.52626,NaN,NaN,304.2,NaN,NaN,39,NaN,NaN,16.702,NaN,NaN,0.80942
43,0,1.16,NaN,0.43044,NaN,NaN,298.48,NaN,NaN,29.024,NaN,NaN,18.141,NaN,NaN,1.3646
44,0,0.8,NaN,0.43033,NaN,NaN,327.44,NaN,NaN,39.031,NaN,NaN,19.389,NaN,NaN,1.2487
45,0,0.92,NaN,0.57663,NaN,NaN,324.33,NaN,NaN,31.533,NaN,NaN,18.746,NaN,NaN,1.4415
46,0,0.52,NaN,0.34034,NaN,NaN,293.41,NaN,NaN,49.022,NaN,NaN,21.919,NaN,NaN,1.7036
47,0,0.4,NaN,0.42817,0,0,225.39,NaN,NaN,45.875,0,0,17.349,NaN,NaN,3.4221
48,0,0.44,NaN,0.40961,0,0,217.02,NaN,NaN,66.578,0,0,13.766,NaN,NaN,3.5829
49,0,0.96,NaN,0.91652,0,0,214.3,NaN,NaN,101.01,0,0,9.5766,NaN,NaN,3.8812
50,0,0.84,NaN,0.90074,0,0,170.08,NaN,NaN,70.005,0,0,9.3593,NaN,NaN,3.7447
51,0,0.8,NaN,0.63465,0,0,100.05,NaN,NaN,51.518,0,0,9.4091,NaN,NaN,4.7215
52,0,0.4,NaN,0.52042,0,0,137.67,NaN,NaN,72.646,0,0,8.9502,NaN,NaN,4.2455
53,0,0.48,NaN,0.48511,0,0,78.848,NaN,NaN,68.528,0,0,4.5034,NaN,NaN,3.9546
54,0,0.52,NaN,0.92976,0,0,41.38,NaN,NaN,117.04,0,0,2.3368,NaN,NaN,6.6093
55,0,0.12,NaN,0.6,0,0,31.809,NaN,NaN,95.427,0,0,2.1736,NaN,NaN,6.5207
56,0,0.12,NaN,0.6,0,0,22.435,NaN,NaN,74.41,0,0,1.8703,NaN,NaN,6.203
57,0,0.12,NaN,0.6,0,0,30.425,NaN,NaN,100.91,0,0,1.9209,NaN,NaN,6.3709
58,0,0.08,NaN,0.4,0,0,17.129,NaN,NaN,61.76,0,0,1.4815,NaN,NaN,5.3418
59,0,0.16,NaN,0.8,0,0,15.873,NaN,NaN,57.231,0,0,1.2022,NaN,NaN,4.3347
60,0,0.24,NaN,1.2,0,0,16.057,NaN,NaN,60.08,0,0,1.6974,NaN,NaN,6.3509
61,0,0.12,NaN,0.6,0,0,17.874,NaN,NaN,73.697,0,0,1.0752,NaN,NaN,4.4333
62,0,0.04,NaN,0.2,0,0,11.912,NaN,NaN,51.921,0,0,1.1372,NaN,NaN,4.957
