EGL_Thickness,remp,ste
1e-08,1,4.8287e-07
1.1e-07,1.0224,0.00027029
2.1e-07,1.0566,0.00058282
3.1e-07,1.0892,0.0009071
4.1e-07,1.1229,0.0012636
5.1e-07,1.1587,0.0016588
6.1e-07,1.1969,0.0020971
7.1e-07,1.2379,0.0025843
8.1e-07,1.2821,0.0031288
9.1e-07,1.3296,0.0037361
1.01e-06,1.3809,0.0044141
