Art,ven,std,
0,0,NaN,NaN
0,0,NaN,NaN
0,0.48,NaN,0.1472
0.12,0.88,0.19149,0.17105
0.68,1.56,0.22246,0.24462
2.48,2.4,0.40373,0.31851
6.36,2.64,0.50951,0.42587
12.48,3.4,1.1792,0.65162
19.24,3.32,1.3106,0.61597
24.36,4.2,1.7568,0.59671
26.48,4.24,1.1735,0.68057
24.04,4.44,1.527,0.70019
19.76,4.44,1.2045,0.64312
16.08,5.04,1.3637,0.81756
11.28,3.76,1.138,0.53774
7.08,4.68,1.4,0.65807
4.88,4.4,1.134,0.71686
2.72,4.28,0.99525,0.947
1.28,4.4,0.76048,0.85723
0.6,4.32,0.5,0.56054
0.08,5.92,0.4,0.81845
0,4.88,NaN,0.65171
0,5.8,NaN,0.62915
0,5.36,NaN,0.87013
0,6.4,NaN,0.88506
0,5.32,NaN,0.76766
0,5.28,NaN,0.60421
0,4.56,NaN,0.51016
0,4.56,NaN,0.60116
0,4.56,NaN,0.62104
0,4.88,NaN,0.60089
0,4.2,NaN,0.84835
0,4.8,NaN,0.89629
0,3.8,NaN,0.70991
0,3.64,NaN,0.68501
0,3.76,NaN,0.57827
0,3.76,NaN,0.74241
0,4.2,NaN,0.72457
0,4.2,NaN,0.97014
0,3.48,NaN,0.86099
0,3.04,NaN,0.84485
0,2.08,NaN,0.79403
0,2.96,NaN,0.83493
0,2.8,NaN,0.88192
0,1.52,NaN,0.61869
0,1.72,NaN,0.757
0,1.2,NaN,0.48591
0,1.64,NaN,0.86538
0,1.56,NaN,1.0462
0,1.04,NaN,0.80026
0,1.04,NaN,0.71114
0,0.56,NaN,0.60663
0,0.64,NaN,0.65676
0,0.64,NaN,0.53852
0,0.4,NaN,0.62915
0,0.32,NaN,0.45
0,0.16,NaN,0.27285
0,0.2,NaN,0.57735
0,0.24,NaN,0.62183
0,0,NaN,NaN
0,0,NaN,NaN
0,0,NaN,NaN
0,0,NaN,NaN
0,0,NaN,NaN
0,0,NaN,NaN
0,0,NaN,NaN
0,0,NaN,NaN
0,0,NaN,NaN
0,0,NaN,NaN
0,0,NaN,NaN
0,0,NaN,NaN
0,0,NaN,NaN
0,0,NaN,NaN
0,0,NaN,NaN
