Art,cap,ven,std,
328,NaN,356.02,43.656,NaN,42.958
361.3,NaN,298.17,27.448,NaN,28.81
249.84,463.6,288.26,19.305,203.99,19.987
296.12,303.97,296.97,19.356,48.811,15.977
267.71,381.2,302.51,14.35,74.889,13.865
290.55,353.93,296.97,9.7495,32.861,14.079
271.54,381.08,286.77,9.0642,23.212,9.2689
286.46,340.36,281.26,9.2043,20.606,9.9149
306.13,362.22,276.77,9.7209,17.711,8.2206
274.9,392.36,290.18,5.1022,18.36,7.9255
287.27,372.45,275.31,8.0863,19.888,8.648
296.84,407.03,283.75,7.2826,15.589,5.115
284.3,396.35,273.37,7.2714,17.322,6.3237
267.25,405.24,277.7,7.2931,16.384,7.0521
300.12,389.13,298.98,7.0785,14.331,8.1014
295.27,369.18,288.56,10.219,11.086,7.5833
289.08,423.71,306.64,8.5445,23.713,8.9402
289.8,365.87,314.09,9.7464,15.055,7.8534
287.6,395.88,294.96,9.7214,21.31,13.569
292.47,378.72,313.35,12.111,17.486,13.462
285.46,367.4,319.75,10.112,24.426,23.347
320.87,402.57,312.67,22.219,21.401,21.89
302.05,351.92,309.17,28.423,25.291,34.26
353.3,375.57,339.56,25.995,18.045,35.243
269.83,376.33,336.64,24.814,33.37,25.938
298.1,365.48,296.63,14.12,49.815,54.543
317.1,417.56,430.67,74.398,54.415,180.77
324.31,313.47,NaN,0,184.6,NaN
371.55,331.14,NaN,0,0,NaN
165.27,309,NaN,0,0,NaN
272.22,125.58,NaN,0,0,NaN
NaN,326.79,NaN,NaN,0,NaN
NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN
0,0,0,NaN,NaN,NaN
0,0,0,NaN,NaN,NaN
0,0,0,NaN,NaN,NaN
0,0,0,NaN,NaN,NaN
0,0,0,NaN,NaN,NaN
0,0,0,NaN,NaN,NaN
0,0,0,NaN,NaN,NaN
0,0,0,NaN,NaN,NaN
0,0,0,NaN,NaN,NaN
0,0,0,NaN,NaN,NaN
0,0,0,NaN,NaN,NaN
0,0,0,NaN,NaN,NaN
0,0,0,NaN,NaN,NaN
0,0,0,NaN,NaN,NaN
0,0,0,NaN,NaN,NaN
0,0,0,NaN,NaN,NaN
